    INFO: 2026-02-18 13:20:48,867:               log.py:   20: Logging to C:\Users\hoang\NAPE\mdpdf.log
   DEBUG: 2026-02-18 13:20:49,035:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-18 13:20:49,036:      pdf_renderer.py:  470: printSegment: Time: ~30 seconds
   DEBUG: 2026-02-18 13:20:49,038:      pdf_renderer.py:  470: printSegment: What to say:
   DEBUG: 2026-02-18 13:20:49,039:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,043:      pdf_renderer.py:  470: printSegment: Good morning everyone. Thank you for having us.
   DEBUG: 2026-02-18 13:20:49,046:      pdf_renderer.py:  470: printSegment: My name is Anh Bui, and I
   DEBUG: 2026-02-18 13:20:49,048:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,051:      pdf_renderer.py:  470: printSegment: m joined today by Minh Nguyen and Cuong Nguyen.
   DEBUG: 2026-02-18 13:20:49,052:      pdf_renderer.py:  470: printSegment: In the next 15 minutes, we
   DEBUG: 2026-02-18 13:20:49,053:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,064:      pdf_renderer.py:  470: printSegment: ll walk you through our strategic response to the Case Twist — a dissident
   DEBUG: 2026-02-18 13:20:49,089:      pdf_renderer.py:  470: printSegment: investor threatening to take control of our company. We
   DEBUG: 2026-02-18 13:20:49,090:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,095:      pdf_renderer.py:  470: printSegment: ve analyzed the three strategic options
   DEBUG: 2026-02-18 13:20:49,096:      pdf_renderer.py:  470: printSegment: given in the case, and we
   DEBUG: 2026-02-18 13:20:49,098:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,108:      pdf_renderer.py:  470: printSegment: ll show you exactly why Option 3 — a Joint Venture with Amazon Web
   DEBUG: 2026-02-18 13:20:49,109:      pdf_renderer.py:  470: printSegment: Services — is the clear winner.
   DEBUG: 2026-02-18 13:20:49,122:      pdf_renderer.py:  470: printSegment: We used Talen Energy, a real company, as our model. Talen executed this exact strategy and their
   DEBUG: 2026-02-18 13:20:49,124:      pdf_renderer.py:  470: printSegment: stock went from $60 to $389 — a 6.5x increase. We
   DEBUG: 2026-02-18 13:20:49,125:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,127:      pdf_renderer.py:  470: printSegment: ll show you how to do the same.
   DEBUG: 2026-02-18 13:20:49,128:      pdf_renderer.py:  470: printSegment: Let
   DEBUG: 2026-02-18 13:20:49,130:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,132:      pdf_renderer.py:  470: printSegment: s begin.
   DEBUG: 2026-02-18 13:20:49,134:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,137:      pdf_renderer.py:  470: printSegment: Transition:
   DEBUG: 2026-02-18 13:20:49,138:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-18 13:20:49,139:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,141:      pdf_renderer.py:  470: printSegment: First, let me explain the situation we
   DEBUG: 2026-02-18 13:20:49,142:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,143:      pdf_renderer.py:  470: printSegment: re facing.
   DEBUG: 2026-02-18 13:20:49,145:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,148:      pdf_renderer.py:  470: printSegment: SLIDE 2 — THE TWIST: DISSIDENT INVESTOR THREAT
   DEBUG: 2026-02-18 13:20:49,149:      pdf_renderer.py:  470: printSegment: Speaker: Anh Bui
   DEBUG: 2026-02-18 13:20:49,150:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-18 13:20:49,152:      pdf_renderer.py:  470: printSegment: Time: ~90 seconds
   DEBUG: 2026-02-18 13:20:49,154:      pdf_renderer.py:  470: printSegment: Background you should understand (don
   DEBUG: 2026-02-18 13:20:49,156:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,157:      pdf_renderer.py:  470: printSegment: t read this):
   DEBUG: 2026-02-18 13:20:49,158:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,160:      pdf_renderer.py:  470: printSegment: A 
   DEBUG: 2026-02-18 13:20:49,161:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,162:      pdf_renderer.py:  470: printSegment: dissident investor
   DEBUG: 2026-02-18 13:20:49,163:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,165:      pdf_renderer.py:  470: printSegment:  is also called an 
   DEBUG: 2026-02-18 13:20:49,166:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,168:      pdf_renderer.py:  470: printSegment: activist shareholder.
   DEBUG: 2026-02-18 13:20:49,169:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,181:      pdf_renderer.py:  470: printSegment:  This is someone who buys a lot of
   DEBUG: 2026-02-18 13:20:49,184:      pdf_renderer.py:  470: printSegment: stock in a company — not to support management, but to FORCE management to make changes.
   DEBUG: 2026-02-18 13:20:49,185:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,187:      pdf_renderer.py:  470: printSegment: Right now, the dissident owns 9% of the company. That
   DEBUG: 2026-02-18 13:20:49,188:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,190:      pdf_renderer.py:  470: printSegment: s about 4.05 million shares worth $1.8
   DEBUG: 2026-02-18 13:20:49,192:      pdf_renderer.py:  470: printSegment: billion.
   DEBUG: 2026-02-18 13:20:49,193:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,196:      pdf_renderer.py:  470: printSegment: At 10% ownership (4.5 million shares), the dissident can legally call a 
   DEBUG: 2026-02-18 13:20:49,197:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,199:      pdf_renderer.py:  470: printSegment: special shareholder meeting
   DEBUG: 2026-02-18 13:20:49,201:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,204:      pdf_renderer.py:  470: printSegment: 
   DEBUG: 2026-02-18 13:20:49,205:      pdf_renderer.py:  470: printSegment: to try to fire the CEO and replace the board.
   DEBUG: 2026-02-18 13:20:49,206:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,212:      pdf_renderer.py:  470: printSegment: The dissident thinks management is too slow. They want FASTER value creation — bigger deals,
   DEBUG: 2026-02-18 13:20:49,214:      pdf_renderer.py:  470: printSegment: higher stock price.
   DEBUG: 2026-02-18 13:20:49,216:      pdf_renderer.py:  470: printSegment: What to say:
   DEBUG: 2026-02-18 13:20:49,218:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,219:      pdf_renderer.py:  470: printSegment: Here
   DEBUG: 2026-02-18 13:20:49,220:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,221:      pdf_renderer.py:  470: printSegment: s the situation we
   DEBUG: 2026-02-18 13:20:49,222:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,223:      pdf_renderer.py:  470: printSegment: re facing.
   DEBUG: 2026-02-18 13:20:49,230:      pdf_renderer.py:  470: printSegment: A dissident investor — think of them as an aggressive shareholder who wants to force change — has
   DEBUG: 2026-02-18 13:20:49,232:      pdf_renderer.py:  470: printSegment: quietly bought up 
   DEBUG: 2026-02-18 13:20:49,234:      pdf_renderer.py:  470: printSegment: 9% of our company
   DEBUG: 2026-02-18 13:20:49,236:      pdf_renderer.py:  470: printSegment: . That
   DEBUG: 2026-02-18 13:20:49,238:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,239:      pdf_renderer.py:  470: printSegment: s about 
   DEBUG: 2026-02-18 13:20:49,240:      pdf_renderer.py:  470: printSegment: 4 million shares
   DEBUG: 2026-02-18 13:20:49,241:      pdf_renderer.py:  470: printSegment: , worth 
   DEBUG: 2026-02-18 13:20:49,242:      pdf_renderer.py:  470: printSegment: $1.8 billion
   DEBUG: 2026-02-18 13:20:49,243:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-02-18 13:20:49,244:      pdf_renderer.py:  470: printSegment: Here
   DEBUG: 2026-02-18 13:20:49,245:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,247:      pdf_renderer.py:  470: printSegment: s why that
   DEBUG: 2026-02-18 13:20:49,248:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,249:      pdf_renderer.py:  470: printSegment: s dangerous: once they hit 
   DEBUG: 2026-02-18 13:20:49,250:      pdf_renderer.py:  470: printSegment: 10%
   DEBUG: 2026-02-18 13:20:49,258:      pdf_renderer.py:  470: printSegment: , they can call a special shareholder meeting. At that
   DEBUG: 2026-02-18 13:20:49,260:      pdf_renderer.py:  470: printSegment: meeting, they can propose to 
   DEBUG: 2026-02-18 13:20:49,262:      pdf_renderer.py:  470: printSegment: fire our CEO and replace the entire board of directors
   DEBUG: 2026-02-18 13:20:49,267:      pdf_renderer.py:  470: printSegment: . They only
   DEBUG: 2026-02-18 13:20:49,268:      pdf_renderer.py:  470: printSegment: need to buy about 450,000 more shares to reach that trigger.
   DEBUG: 2026-02-18 13:20:49,271:      pdf_renderer.py:  470: printSegment: What does the dissident want? They think we
   DEBUG: 2026-02-18 13:20:49,273:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,275:      pdf_renderer.py:  470: printSegment: re not moving fast enough. They want:
   DEBUG: 2026-02-18 13:20:49,277:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,281:      pdf_renderer.py:  470: printSegment: Higher stock valuation — from 30x EV/EBITDA to 35 or 40x
   DEBUG: 2026-02-18 13:20:49,283:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,286:      pdf_renderer.py:  470: printSegment: Faster free cash flow growth — beat our 30% per year target
   DEBUG: 2026-02-18 13:20:49,288:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,292:      pdf_renderer.py:  470: printSegment: A bold strategic move that connects us to the AI and data center boom
   DEBUG: 2026-02-18 13:20:49,296:      pdf_renderer.py:  470: printSegment: In simple terms: they want us to do something big, do it fast, and make the stock go up. If we don
   DEBUG: 2026-02-18 13:20:49,298:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,299:      pdf_renderer.py:  470: printSegment: t,
   DEBUG: 2026-02-18 13:20:49,300:      pdf_renderer.py:  470: printSegment: they
   DEBUG: 2026-02-18 13:20:49,301:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,303:      pdf_renderer.py:  470: printSegment: ll try to take over and do it themselves.
   DEBUG: 2026-02-18 13:20:49,305:      pdf_renderer.py:  470: printSegment: The case gives us three options to respond.
   DEBUG: 2026-02-18 13:20:49,306:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,308:      pdf_renderer.py:  470: printSegment: Transition:
   DEBUG: 2026-02-18 13:20:49,309:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-18 13:20:49,311:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,315:      pdf_renderer.py:  470: printSegment: Let me briefly explain the three options before we analyze each one.
   DEBUG: 2026-02-18 13:20:49,317:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,322:      pdf_renderer.py:  470: printSegment: SLIDE 3 — THE THREE STRATEGIC OPTIONS
   DEBUG: 2026-02-18 13:20:49,325:      pdf_renderer.py:  470: printSegment: Speaker: Anh Bui
   DEBUG: 2026-02-18 13:20:49,327:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-18 13:20:49,330:      pdf_renderer.py:  470: printSegment: Time: ~60 seconds
   DEBUG: 2026-02-18 13:20:49,333:      pdf_renderer.py:  470: printSegment: What to say:
   DEBUG: 2026-02-18 13:20:49,334:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,336:      pdf_renderer.py:  470: printSegment: The case twist gives us three paths:
   DEBUG: 2026-02-18 13:20:49,339:      pdf_renderer.py:  470: printSegment: Option 1 — Integrate Downstream
   DEBUG: 2026-02-18 13:20:49,368:      pdf_renderer.py:  470: printSegment: : 
   DEBUG: 2026-02-18 13:20:49,409:      pdf_renderer.py:  470: printSegment: Buy a data center company. We become both the maker of
   DEBUG: 2026-02-18 13:20:49,431:      pdf_renderer.py:  470: printSegment: electricity AND the user of electricity. The idea is that data center companies trade at higher stock
   DEBUG: 2026-02-18 13:20:49,433:      pdf_renderer.py:  470: printSegment: valuations — maybe 40 to 60 times earnings — so acquiring one might pull our multiple up.
   DEBUG: 2026-02-18 13:20:49,435:      pdf_renderer.py:  470: printSegment: Option 2 — Sell Upstream
   DEBUG: 2026-02-18 13:20:49,437:      pdf_renderer.py:  470: printSegment: : 
   DEBUG: 2026-02-18 13:20:49,465:      pdf_renderer.py:  470: printSegment: Get acquired by a big oil company like Shell or ExxonMobil. Our
   DEBUG: 2026-02-18 13:20:49,475:      pdf_renderer.py:  470: printSegment: shareholders get an immediate cash premium — maybe 20 to 30% above the current stock price. But the
   DEBUG: 2026-02-18 13:20:49,477:      pdf_renderer.py:  470: printSegment: company stops existing as an independent business.
   DEBUG: 2026-02-18 13:20:49,480:      pdf_renderer.py:  470: printSegment: Option 3 — Joint Venture / Partnership
   DEBUG: 2026-02-18 13:20:49,481:      pdf_renderer.py:  470: printSegment: : 
   DEBUG: 2026-02-18 13:20:49,522:      pdf_renderer.py:  470: printSegment: Partner with a hyperscaler like Amazon Web Services. We
   DEBUG: 2026-02-18 13:20:49,543:      pdf_renderer.py:  470: printSegment: sign a long-term contract to supply them electricity from our nuclear plant, and we help them build
   DEBUG: 2026-02-18 13:20:49,547:      pdf_renderer.py:  470: printSegment: a data center campus. We stay independent, but we get stable revenue and a higher stock valuation.
   DEBUG: 2026-02-18 13:20:49,550:      pdf_renderer.py:  470: printSegment: Now let me show you how we analyzed each option — and why one of them is clearly better than the
   DEBUG: 2026-02-18 13:20:49,552:      pdf_renderer.py:  470: printSegment: others.
   DEBUG: 2026-02-18 13:20:49,553:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,556:      pdf_renderer.py:  470: printSegment: Transition:
   DEBUG: 2026-02-18 13:20:49,557:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-18 13:20:49,558:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,561:      pdf_renderer.py:  470: printSegment: Before we dive in, let me show you the real-world example that proves our recommendation works.
   DEBUG: 2026-02-18 13:20:49,562:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,566:      pdf_renderer.py:  470: printSegment: SLIDE 4 — REAL-WORLD PRECEDENT: TALEN ENERGY
   DEBUG: 2026-02-18 13:20:49,568:      pdf_renderer.py:  470: printSegment: Speaker: Minh Nguyen
   DEBUG: 2026-02-18 13:20:49,569:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-18 13:20:49,571:      pdf_renderer.py:  470: printSegment: Time: ~90 seconds
   DEBUG: 2026-02-18 13:20:49,573:      pdf_renderer.py:  470: printSegment: Background you should understand:
   DEBUG: 2026-02-18 13:20:49,575:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,577:      pdf_renderer.py:  470: printSegment: Talen Energy is a real company traded on NASDAQ under ticker TLN.
   DEBUG: 2026-02-18 13:20:49,578:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,590:      pdf_renderer.py:  470: printSegment: Talen is almost IDENTICAL to our case company: same type (IPP), same market (PJM), same fuel
   DEBUG: 2026-02-18 13:20:49,592:      pdf_renderer.py:  470: printSegment: mix (nuclear + gas + coal), same size (~13,000 MW).
   DEBUG: 2026-02-18 13:20:49,594:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,609:      pdf_renderer.py:  470: printSegment: In March 2024, Talen sold a data center campus to Amazon Web Services for $650 million AND
   DEBUG: 2026-02-18 13:20:49,611:      pdf_renderer.py:  470: printSegment: signed a long-term power purchase agreement to supply electricity from their nuclear plant.
   DEBUG: 2026-02-18 13:20:49,612:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,614:      pdf_renderer.py:  470: printSegment: After that deal, Talen
   DEBUG: 2026-02-18 13:20:49,615:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,617:      pdf_renderer.py:  470: printSegment: s stock went from about $60 per share to $389 per share — a 6.5x increase.
   DEBUG: 2026-02-18 13:20:49,618:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,624:      pdf_renderer.py:  470: printSegment: One of the judges today, Darren Olagues, is the Chief Development Officer at Talen Energy. He
   DEBUG: 2026-02-18 13:20:49,625:      pdf_renderer.py:  470: printSegment: worked on this exact deal.
   DEBUG: 2026-02-18 13:20:49,626:      pdf_renderer.py:  470: printSegment: What to say:
   DEBUG: 2026-02-18 13:20:49,628:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,633:      pdf_renderer.py:  470: printSegment: Thank you, Anh. Before I analyze each option, I want to show you the real-world proof that our
   DEBUG: 2026-02-18 13:20:49,635:      pdf_renderer.py:  470: printSegment: recommendation works.
   DEBUG: 2026-02-18 13:20:49,636:      pdf_renderer.py:  470: printSegment: This is 
   DEBUG: 2026-02-18 13:20:49,637:      pdf_renderer.py:  470: printSegment: Talen Energy
   DEBUG: 2026-02-18 13:20:49,652:      pdf_renderer.py:  470: printSegment: . They are a mid-sized IPP, based in PJM, with about 13,000 megawatts of
   DEBUG: 2026-02-18 13:20:49,654:      pdf_renderer.py:  470: printSegment: capacity — including a 2,500 megawatt nuclear plant called Susquehanna. Sound familiar? That
   DEBUG: 2026-02-18 13:20:49,655:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,657:      pdf_renderer.py:  470: printSegment: s
   DEBUG: 2026-02-18 13:20:49,658:      pdf_renderer.py:  470: printSegment: almost exactly our case company.
   DEBUG: 2026-02-18 13:20:49,660:      pdf_renderer.py:  470: printSegment: Here
   DEBUG: 2026-02-18 13:20:49,661:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,663:      pdf_renderer.py:  470: printSegment: s what Talen did: In March 2024, they sold a data center campus to 
   DEBUG: 2026-02-18 13:20:49,665:      pdf_renderer.py:  470: printSegment: Amazon Web Services
   DEBUG: 2026-02-18 13:20:49,666:      pdf_renderer.py:  470: printSegment:  for
   DEBUG: 2026-02-18 13:20:49,667:      pdf_renderer.py:  470: printSegment: 
   DEBUG: 2026-02-18 13:20:49,668:      pdf_renderer.py:  470: printSegment: $650 million
   DEBUG: 2026-02-18 13:20:49,669:      pdf_renderer.py:  470: printSegment: . At the same time, they signed a 
   DEBUG: 2026-02-18 13:20:49,671:      pdf_renderer.py:  470: printSegment: 20-year power purchase agreement
   DEBUG: 2026-02-18 13:20:49,683:      pdf_renderer.py:  470: printSegment:  to supply nuclear
   DEBUG: 2026-02-18 13:20:49,687:      pdf_renderer.py:  470: printSegment: electricity to that data center — at about $85 to $100 per megawatt-hour, compared to the $51
   DEBUG: 2026-02-18 13:20:49,689:      pdf_renderer.py:  470: printSegment: wholesale price.
   DEBUG: 2026-02-18 13:20:49,691:      pdf_renderer.py:  470: printSegment: What happened to their stock? It went from 
   DEBUG: 2026-02-18 13:20:49,693:      pdf_renderer.py:  470: printSegment: $60 per share to $389 per share
   DEBUG: 2026-02-18 13:20:49,695:      pdf_renderer.py:  470: printSegment:  — a 
   DEBUG: 2026-02-18 13:20:49,696:      pdf_renderer.py:  470: printSegment: 6.5 times increase
   DEBUG: 2026-02-18 13:20:49,702:      pdf_renderer.py:  470: printSegment:  in
   DEBUG: 2026-02-18 13:20:49,704:      pdf_renderer.py:  470: printSegment: less than two years. Their market cap went from $3 billion to $17.6 billion.
   DEBUG: 2026-02-18 13:20:49,706:      pdf_renderer.py:  470: printSegment: This is not a theory. This is what actually happened. And our company — with 
   DEBUG: 2026-02-18 13:20:49,708:      pdf_renderer.py:  470: printSegment: 2,200 MW of nuclear in
   DEBUG: 2026-02-18 13:20:49,709:      pdf_renderer.py:  470: printSegment: PJM
   DEBUG: 2026-02-18 13:20:49,710:      pdf_renderer.py:  470: printSegment:  — can do the exact same thing.
   DEBUG: 2026-02-18 13:20:49,713:      pdf_renderer.py:  470: printSegment: But here
   DEBUG: 2026-02-18 13:20:49,714:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,715:      pdf_renderer.py:  470: printSegment: s the key insight: 
   DEBUG: 2026-02-18 13:20:49,716:      pdf_renderer.py:  470: printSegment: Talen didn
   DEBUG: 2026-02-18 13:20:49,718:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,719:      pdf_renderer.py:  470: printSegment: t stop at one deal
   DEBUG: 2026-02-18 13:20:49,728:      pdf_renderer.py:  470: printSegment: . After the initial sale, they kept acquiring
   DEBUG: 2026-02-18 13:20:49,731:      pdf_renderer.py:  470: printSegment: more data centers to expand their AWS partnership. That proves this isn
   DEBUG: 2026-02-18 13:20:49,732:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,734:      pdf_renderer.py:  470: printSegment: t a one-time event — it
   DEBUG: 2026-02-18 13:20:49,735:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,737:      pdf_renderer.py:  470: printSegment: s a 
   DEBUG: 2026-02-18 13:20:49,740:      pdf_renderer.py:  470: printSegment: compounding growth platform
   DEBUG: 2026-02-18 13:20:49,741:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-02-18 13:20:49,744:      pdf_renderer.py:  470: printSegment: Now let me walk you through each of the three options.
   DEBUG: 2026-02-18 13:20:49,746:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,749:      pdf_renderer.py:  470: printSegment: Transition:
   DEBUG: 2026-02-18 13:20:49,751:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-18 13:20:49,752:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,753:      pdf_renderer.py:  470: printSegment: Let
   DEBUG: 2026-02-18 13:20:49,754:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-02-18 13:20:49,757:      pdf_renderer.py:  470: printSegment: s start with Option 1 — acquiring a data center company.
   DEBUG: 2026-02-18 13:20:49,758:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,761:      pdf_renderer.py:  470: printSegment: SLIDE 5 — OPTION 1: ACQUIRE A DATA CENTER COMPANY
   DEBUG: 2026-02-18 13:20:49,764:      pdf_renderer.py:  470: printSegment: Speaker: Minh Nguyen
   DEBUG: 2026-02-18 13:20:49,765:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-18 13:20:49,767:      pdf_renderer.py:  470: printSegment: Time: ~90 seconds
   DEBUG: 2026-02-18 13:20:49,770:      pdf_renderer.py:  470: printSegment: Background you should understand:
   DEBUG: 2026-02-18 13:20:49,771:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,773:      pdf_renderer.py:  470: printSegment: Option 1 means we BUY a company that operates data centers. We become a 
   DEBUG: 2026-02-18 13:20:49,774:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,776:      pdf_renderer.py:  470: printSegment: vertically integrated
   DEBUG: 2026-02-18 13:20:49,777:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-02-18 13:20:49,781:      pdf_renderer.py:  470: printSegment: 
   DEBUG: 2026-02-18 13:20:49,782:      pdf_renderer.py:  470: printSegment: company — we make the electricity AND we consume it.
   DEBUG: 2026-02-18 13:20:49,784:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,803:      pdf_renderer.py:  470: printSegment: The problem: data center companies are EXTREMELY expensive right now. QTS sold for $10
   DEBUG: 2026-02-18 13:20:49,806:      pdf_renderer.py:  470: printSegment: billion. Cyrus One sold for $15 billion. CoreWeave is valued at $35 billion+.
   DEBUG: 2026-02-18 13:20:49,807:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,818:      pdf_renderer.py:  470: printSegment: A $20 billion market cap company cannot easily buy a $10+ billion data center company. You need
   DEBUG: 2026-02-18 13:20:49,821:      pdf_renderer.py:  470: printSegment: to borrow heavily and issue lots of new stock.
   DEBUG: 2026-02-18 13:20:49,822:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,825:      pdf_renderer.py:  470: printSegment: That borrowing and stock issuance destroys shareholder value in the short term. 
